Package	Deadline	Maintainer	Packages	Dependencies	Snapshot
robustbase	2024-08-18	Martin Maechler	BIGL, bigleaf, bigutilsr, biwt, BMA, bulletr, cauphy, ccaPP, cellWise, CerioliOutlierDetection, chemometrics, chipPCR, classmap, complmrob, compositions, crmReg, cvTools, dataMaid, dataquieR, dataReporter, ddalpha, DeCAFS, DetMCD, DetR, dfphase1, dmbc, dmm, enetLTS, envoutliers, epmrob, ergm, facmodCS, facmodTS, fAssets, fMRIscrub, fpc, fPortfolio, funcharts, georob, geoTS, Gmedian, GNSSseg, groc, GSE, GWmodel, highfrequency, hpiR, invacost, IRon, JWileymisc, KRMM, L2E, lessR, lolR, MAINT.Data, MALDIrppa, mastif, MBmca, MendelianRandomization, metRology, MixSemiRob, MKmisc, MKomics, mmiCATs, ModTools, movieROC, mrct, MRZero, mvMonitoring, mvoutlier, MVTests, otrimle, OutliersO3, pcalg, pchc, PCRA, perryExamples, PhylogeneticEM, PlasmaMutationDetector, PlasmaMutationDetector2, PRANA, PupilPre, pyinit, qGaussian, qpcR, qqconf, qqplotr, RcmdrPlugin.PcaRobust, RCTS, regrrr, rlme, RMSS, roahd, robCompositions, RobExtremes, robfilter, robflreg, robmed, RobMixReg, robnptests, RobPer, robreg3S, RobStatTM, robust, RobustAFT, robustbetareg, robustHD, robustlmm, robustsur, robustvarComp, robustX, rofanova, rospca, rpls, RPPASPACE, rrcov, rrcov3way, rrcovHD, rrcovNA, sdcMicro, semiArtificial, ShapleyOutlier, shotGroups, SOHPIE, SpatialBSS, splithalf, sscor, ssMRCD, ssmrob, StatDA, Taba, tergm, tsqn, TVMM, univOutl, VIM, weird, REddyProc, bigsnpr, pcadapt, BCEE, clustvarsel, Ecfun, maclogp, mlogitBMA, nanostringr, ConfidenceEllipse, RDnp, robStepSplitReg, srlars, Arothron, CoDaImpact, codaredistlm, countprop, ggtern, gmGeostats, HybridMicrobiomes, itraxR, metamicrobiomeR, MRPC, multilevelcoda, powerPLS, QFASA, simmr, Toothnroll, Unico, vdar, CenBAR, curvir, FWDselect, GRNNs, l1spectral, mogavs, OPTS, SCtools, STOPES, Anthropometry, curveDepth, pdSpecEst, RepeatedHighDim, TukeyRegion, Bergm, BFpack, bigergm, btergm, dnr, EpiModel, ergm.count, ergm.ego, ergm.multi, ergm.rank, ergMargins, ergmgp, ergmito, fergm, latentnet, mlergm, nemBM, netmediate, RDS, statnet, statnetWeb, tergmLite, VBLPCM, xergm.common, beadplexr, bootcluster, Canek, clusEvol, clusterMI, clustrd, coca, conjoint, dann, DIscBIO, drclust, FADPclust, ICSClust, immunarch, IPCAPS, lsirm12pl, MEGENA, mlr3cluster, NIMAA, nullabor, pathfindR, RaceID, RPANDA, sae.prop, SPARTAAS, stream, truh, tspmeta, wskm, BLCOP, RMOPI, sephora, sta, ctmm, Kmedians, ktaucenters, Compind, GeoWeightedModel, SpatialRegimes, mind, multilevelTools, pscore, CliquePercolation, starvars, MSclassifR, bayes4psy, BayesRS, footBayes, masscor, BiDAG, causalDisco, clustNet, eff2, kpcalg, mDAG, micd, NetCoupler, pcgen, qtlnet, SID, tpc, metap, ARCensReg, asremlPlus, ggResidpanel, MKpower, squat, baker, CMMs, robmedExtra, mvDFA, RPEIF, RPESE, RRBoost, adventr, outliers.ts.oga, gamreg, PAMhm, sparseLTSEigen, bigdatadist, DepthProc, geneticae, ICSShiny, mcrPioda, pmartR, QuadratiK, riv, RobAStBase, robustfa, rstanbdp, TCIU, ExplainPrediction, BSSoverSpace, adamethods, lfproQC, missCompare, onlineBcp, promor, simPop, simputation, BAwiR, morphomap, BANAM, BGGM, Bestie, locStra, PRSPGx, RapidoPGS, klic, amt, ctpm, familial, OptimaRegion, Ecdat, cocktailApp, sjSDM, tricolore, RMBC, collpcm, MEclustnet, DDPNA, CB2, ICDS, metapro, PEACH, mlr3verse, metaviz, regressinator, Neighboot, sspse, REddyProcNCDF, RobLox, ROptEst, RPEGLMEN, rEMM, streamMOA, ITNr, easybgm, DWreg, gk, BioM2, RobLoxBioC, BDWreg	348	2024-08-19 08:21:38.240818
msm	2024-08-18	Christopher Jackson	ammiBayes, ARCensReg, ARDL, BayesianTools, BayesRGMM, biodosetools, breakpoint, bsam, ccostr, ccrs, CensSpatial, CEoptim, cfda, clustMD, CopCTS, cosa, decisionSupport, DFIT, difNLR, drugdevelopR, EAinference, eatRep, ei, eiPack, elect, endoSwitch, epiphy, EventPredInCure, extrafrail, Families, frailtyEM, gems, gmnl, grmsem, hesim, hmsr, horseshoenlm, httk, hysteresis, ICcalib, interactionR, interactionRCS, ltm, msmtools, OneSampleMR, optBiomarker, oro.pet, PanCanVarSel, parfm, Petersen, pexm, PRIMEplus, Rchoice, riAFTBART, RMark, rriskDistributions, rtdists, scDECO, score, semmcmc, SightabilityModel, simExam, SizeEstimation, sparsereg, SPAS, spBFA, spCP, stochLAB, Surrogate, surrosurv, tradepolicy, TrenchR, TropFishR, varTestnlme, VirtualPop, womblR, wxgenR, bootCT, DPTM, eDITH, DPBBM, SIAmodules, catSurv, CTTShiny, difR, GPCMlasso, hIRT, IMTest, integIRTy, irtoys, irtreliability, IRTShiny, kequate, missCompare, MultIS, PCMRS, PerFit, PsyControl, RSP, subscore, tcl, UPCM, MigConnectivity, multimark, R2ucare, DstarM, mlmpower, DIFshiny, ShinyItemAnalysis, TestAnaAPP, irtGUI, shinyIRT	112	2024-08-19 08:21:38.240818
rio	2024-08-18	Chung-hong Chan	allMT, boxr, bruceR, childfree, cloudstoR, datamods, dataquieR, DistPlotter, dpmr, editData, epiCleanr, estadistica, ExPanDaR, framecleaner, genogeographer, gesisdata, heterogen, IGoRRR, importinegi, ISRaD, kibior, lehuynh, metaConvert, mmstat4, NormalityAssessment, normfluodbf, octopus, pewdata, PRISMA2020, psData, ropercenter, rUM, tfrmtbuilder, welo, ChineseNames, PsychWordVec, TestAnaAPP, esquisse, moreparty, safetyGraphics, vvdoctor, ggplotAssist, rrtable, SemNetCleaner, autostats, presenter, tidybins, TidyConsultant, validata, shinyrecipes, webr, scicomptools	52	2024-08-19 08:21:38.240818
sas7bdat	2024-08-18	Matt Shotwell	BEACH, rfars, stpm	3	2024-08-19 08:21:38.240818
archivist	2024-08-18	Przemyslaw Biecek	archivist.github, modelDown	2	2024-08-19 08:21:38.240818
khisr	2024-08-18	David Kariuki	cancerscreening	1	2024-08-19 08:21:38.240818
tensorEVD	2024-08-18	Marco Lopez-Cruz	SFSI	1	2024-08-19 08:21:38.240818
admiralvaccine	2024-08-18	Sukalpo Saha		0	2024-08-19 08:21:38.240818
algaeClassify	2024-08-18	Vijay Patil		0	2024-08-19 08:21:38.240818
bggAnalytics	2024-08-18	Jakub Bujnowicz		0	2024-08-19 08:21:38.240818
